"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Final Project\Backend\app.js", "JavaScript", 80, 0, 14, 24, 118
"c:\Final Project\Backend\controllers\booking-controller.js", "JavaScript", 109, 0, 1, 22, 132
"c:\Final Project\Backend\controllers\chatRoom-controller.js", "JavaScript", 187, 0, 5, 49, 241
"c:\Final Project\Backend\controllers\hall-controller.js", "JavaScript", 213, 0, 7, 39, 259
"c:\Final Project\Backend\controllers\user-controller.js", "JavaScript", 411, 0, 10, 62, 483
"c:\Final Project\Backend\db\connect.js", "JavaScript", 5, 0, 0, 3, 8
"c:\Final Project\Backend\helpers\cloudinary.js", "JavaScript", 8, 0, 0, 3, 11
"c:\Final Project\Backend\helpers\url.js", "JavaScript", 2, 0, 1, 2, 5
"c:\Final Project\Backend\middleware\check-auth.js", "JavaScript", 16, 0, 0, 2, 18
"c:\Final Project\Backend\middleware\file-upload.js", "JavaScript", 19, 0, 9, 4, 32
"c:\Final Project\Backend\models\booking.js", "JavaScript", 8, 0, 1, 4, 13
"c:\Final Project\Backend\models\chat.js", "JavaScript", 19, 0, 3, 4, 26
"c:\Final Project\Backend\models\hall.js", "JavaScript", 18, 0, 0, 4, 22
"c:\Final Project\Backend\models\http-error.js", "JavaScript", 7, 0, 0, 2, 9
"c:\Final Project\Backend\models\user.js", "JavaScript", 14, 0, 0, 4, 18
"c:\Final Project\Backend\package-lock.json", "JSON", 0, 2674, 0, 1, 2675
"c:\Final Project\Backend\package.json", "JSON", 0, 31, 0, 1, 32
"c:\Final Project\Backend\routes\booking-routes.js", "JavaScript", 13, 0, 3, 8, 24
"c:\Final Project\Backend\routes\chatRoom-routes.js", "JavaScript", 18, 0, 0, 9, 27
"c:\Final Project\Backend\routes\hall-routes.js", "JavaScript", 18, 0, 5, 10, 33
"c:\Final Project\Backend\routes\user-routes.js", "JavaScript", 47, 0, 2, 14, 63
"Total", "-", 1212, 2705, 61, 271, 4249
